symbol,證券名稱,成交股數,成交筆數,成交金額,開盤價,最高價,最低價,收盤價,漲跌(+/-),漲跌價差,最後揭示買價,最後揭示買量,最後揭示賣價,最後揭示賣量,本益比,發行股數,次日漲停價,次日跌停價,每股股利,股利年度,殖利率(%),股價淨值比
2504,國產,4416460.0,2025.0,160338714.0,36.25,36.6,36.1,36.25,-,0.1,36.25,1,36.30,7,12.08,,,,,,,
2505,國揚,2992067.0,1629.0,71994050.0,22.85,24.8,22.8,24.45,+,1.6,24.40,29,24.45,74,30.56,,,,,,,
2506,太設,703361.0,285.0,6699823.0,9.58,9.6,9.5,9.5,-,0.07,9.50,50,9.51,6,79.17,,,,,,,
2509,全坤建,154275.0,192.0,2750118.0,17.8,18.0,17.75,17.8,-,0.1,17.75,30,17.80,12,0.0,,,,,,,
2511,太子,2735400.0,901.0,28006908.0,10.25,10.3,10.2,10.25,,0.0,10.20,319,10.25,90,27.7,,,,,,,
2514,龍邦,456661.0,342.0,7029055.0,15.35,15.55,15.3,15.35,,0.0,15.35,25,15.40,40,6.21,,,,,,,
2515,中工,17932025.0,4213.0,232064153.0,13.0,13.2,12.85,12.9,-,0.1,12.90,92,12.95,268,31.46,,,,,,,
2516,新建,846451.0,392.0,9660325.0,11.5,11.5,11.3,11.3,-,0.2,11.30,103,11.35,2,14.68,,,,,,,
2520,冠德,2550785.0,2063.0,98182457.0,38.9,38.95,38.25,38.3,-,0.65,38.30,18,38.35,55,8.67,,,,,,,
2524,京城,3702213.0,542.0,144624029.0,38.0,40.0,37.8,39.2,+,1.4,39.20,35,39.25,1,17.58,,,,,,,
2527,宏璟,3425304.0,2016.0,126510348.0,36.0,38.0,35.95,37.35,+,2.8,37.30,4,37.35,20,16.82,,,,,,,
2528,皇普,717133.0,457.0,30185177.0,42.3,42.7,41.0,42.35,+,0.05,42.30,3,42.35,7,66.17,,,,,,,
