symbol,證券名稱,成交股數,成交筆數,成交金額,開盤價,最高價,最低價,收盤價,漲跌(+/-),漲跌價差,最後揭示買價,最後揭示買量,最後揭示賣價,最後揭示賣量,本益比,均價,發行股數,次日參考價,次日漲停價,次日跌停價,每股股利,股利年度,殖利率(%),股價淨值比
6697,東捷資訊,68274,88,3559614,52.5,52.5,51.8,52.3,,-0.4,51.9,1,52.3,2,19.3,52.14,"27,323,364",52.3,57.5,47.1,2.2,112.0,4.21,2.45
6698,旭暉應材,186502,209,6401203,34.45,34.65,34.15,34.65,+,0.2,34.40,2,34.65,2,0.0,,,,,,,,,
6703,軒郁,61143,516,17450219,288.0,288.0,284.0,285.5,,-0.5,285.0,6,286.5,1,19.47,285.4,"27,902,164",285.5,314.0,257.0,13.01479042,112.0,4.56,6.05
6706,惠特,216966,255,11286066,51.9,52.4,51.7,52.0,+,0.4,52.00,10,52.10,2,0.0,,,,,,,,,
6708,天擎,9010,9,411017,46.8,46.8,45.05,45.2,,-0.2,45.1,1,46.0,1,,45.62,"29,008,779",45.2,49.7,40.7,0.4,112.0,0.88,3.15
6712,長聖,325013,968,70499145,218.5,218.5,215.5,217.5,,0.0,217.5,5,218.0,4,30.04,216.91,"73,338,730",217.5,239.0,196.0,7.0,112.0,3.22,8.65
6715,嘉基,449543,502,85021113,192.0,193.0,184.5,186.0,-,2.0,186.00,1,187.00,8,29.38,,,,,,,,,
6716,應廣,55695,69,5649152,101.5,103.0,100.5,101.5,,0.0,101.0,10,101.5,1,50.75,101.43,"30,439,314",101.5,111.5,91.4,2.0,112.0,1.97,4.28
6719,力智,2563259,3215,749847120,285.0,297.5,285.0,297.0,+,12.5,296.50,11,297.00,44,479.03,,,,,,,,,
6721,信實,5320,11,276727,52.5,52.5,51.8,51.8,,0.1,51.8,1,52.3,3,15.56,52.02,"22,500,000",51.8,56.9,46.65,2.6,112.0,5.02,2.0
6727,亞泰金屬,83647,115,4740060,56.8,56.9,56.5,56.8,,0.2,56.6,1,56.7,1,12.35,56.67,"24,734,553",56.8,62.4,51.2,3.97086772,111.0,6.99,1.29
6728,上洋,5756,23,789478,137.0,137.5,137.0,137.5,,-0.5,137.0,4,138.0,2,13.38,137.16,"23,000,000",137.5,151.0,124.0,6.5,112.0,4.73,3.12
6732,昇佳電子,202091,306,82320779,404.5,410.0,404.5,408.0,,3.0,407.5,2,408.5,1,29.54,407.35,"48,912,618",408.0,448.5,367.5,12.5,112.0,3.06,4.45
6733,博晟生醫,104530,59,3951644,37.85,38.0,37.6,37.9,,0.05,37.85,2,37.9,4,,37.8,"123,076,026",37.9,41.65,34.15,0.0,112.0,0.0,4.95
6735,美達科技,618604,617,67587089,108.5,112.0,107.0,107.0,,0.0,106.5,16,107.0,4,324.24,109.26,"41,888,700",107.0,117.5,96.3,0.8,112.0,0.75,4.76
6741,91APP*-KY,352956,421,33168115,95.0,95.0,92.6,94.7,,0.3,93.9,2,94.7,14,28.1,93.97,"120,577,997",94.7,104.0,85.3,0.95,112.0,1.0,3.98
6742,澤米,310787,515,23605286,76.7,77.0,75.2,76.4,+,0.4,76.40,1,76.50,3,181.9,,,,,,,,,
6743,安普新,367288,235,19136086,52.9,53.0,51.8,51.8,-,0.5,51.80,19,51.90,1,0.0,,,,,,,,,
6747,亨泰光,14757,87,2757114,188.0,188.0,185.5,187.5,,-0.5,187.5,1,188.0,4,22.75,186.83,"24,189,000",187.5,206.0,169.0,6.61912438,112.0,3.53,3.56
6751,智聯服務,33360,62,2356009,70.0,71.2,70.0,71.2,,-0.8,70.8,1,71.7,1,23.19,70.62,"22,200,000",71.2,78.3,64.1,2.0,112.0,2.81,1.78
6752,叡揚,69834,112,9388591,135.0,136.5,133.5,133.5,,-1.5,133.5,2,134.0,1,21.74,134.44,"32,775,130",133.5,146.5,120.5,3.8,112.0,2.85,4.06
6753,龍德造船,1970324,1600,233111274,123.0,123.0,115.0,118.0,-,2.5,118.00,39,118.50,29,22.1,,,,,,,,,
6754,匯僑設計,32092,35,1914454,59.7,60.0,59.3,59.8,+,0.3,59.60,1,59.80,5,14.07,,,,,,,,,
6756,威鋒電子,147141,264,31792172,217.0,217.5,215.0,215.0,-,1.0,215.00,17,215.50,2,82.69,,,,,,,,,
6757,台灣虎航-創,790153,197,26410255,33.45,33.65,33.15,33.5,+,0.1,33.45,20,33.50,4,8.23,,,,,,,,,
6761,穩得,115815,154,9552452,83.5,83.5,81.3,82.4,,-0.3,82.3,3,82.8,1,20.4,82.48,"30,104,942",82.4,90.6,74.2,4.0,112.0,4.85,2.08
6762,達亞,4070,6,1035049,255.0,255.0,254.0,254.0,,-1.0,253.0,2,257.0,1,76.74,254.31,"25,889,242",254.0,279.0,229.0,2.0,112.0,0.79,5.31
6763,綠界科技,39906,207,16317658,410.0,412.0,406.5,406.5,,-2.5,406.5,2,411.0,1,18.77,408.9,"18,403,913",406.5,447.0,366.0,18.20000006,112.0,4.48,2.67
6767,台微醫,27371,20,1033178,37.5,37.9,37.45,37.9,,0.45,37.6,4,37.95,2,758.0,37.75,"29,109,000",37.9,41.65,34.15,0.0,112.0,0.0,2.97
6768,志強-KY,90575,397,6686977,74.0,74.2,73.6,74.1,-,0.1,74.00,9,74.10,1,26.65,,,,,,,,,
6770,力積電,10611238,6268,273470546,25.95,26.0,25.65,25.8,-,0.1,25.80,159,25.85,44,0.0,,,,,,,,,
6776,展碁國際,150992,117,9823175,64.9,65.5,64.9,65.2,+,0.4,65.00,1,65.20,2,12.89,,,,,,,,,
6781,AES-KY,109209,201,75923368,703.0,703.0,691.0,695.0,+,2.0,694.00,1,695.00,2,30.16,,,,,,,,,
6782,視陽,389051,704,88778866,230.0,231.5,226.0,229.0,+,1.0,229.00,2,229.50,3,47.81,,,,,,,,,
6785,昱展新藥,298051,481,90520085,308.0,309.0,301.0,302.5,,-1.0,302.0,13,304.5,1,45.08,303.71,"66,800,000",302.5,332.5,272.5,1.5,112.0,0.5,19.22
6788,華景電,149924,563,20138156,134.0,135.5,133.5,135.5,,2.0,135.0,1,135.5,2,17.33,134.32,"34,739,683",135.5,149.0,122.0,6.0,112.0,4.43,2.96
6789,采鈺,1422182,1764,428999390,302.5,306.0,298.5,302.0,+,2.0,302.00,1,302.50,5,269.64,,,,,,,,,
6790,永豐實,329650,351,16267405,49.7,49.7,49.0,49.15,-,0.3,49.10,9,49.15,4,13.58,,,,,,,,,
6791,虎門科技,9203,19,801212,87.4,88.0,86.5,88.0,,0.6,86.7,6,87.9,1,22.74,87.06,"20,847,000",88.0,96.8,79.2,3.46940068,112.0,3.94,3.99
6792,詠業,101880,92,8636091,85.1,85.3,84.2,84.4,-,0.4,84.40,4,84.60,1,20.19,,,,,,,,,
6796,晉弘,78282,83,6719986,86.1,86.9,85.0,85.5,-,0.6,85.50,4,85.60,9,39.95,,,,,,,,,
6799,來頡,575235,809,96888875,169.0,170.5,167.0,168.0,+,0.5,168.00,1,168.50,3,31.76,,,,,,,,,
6803,崑鼎,29211,127,9017142,309.0,310.0,307.0,308.5,,1.0,308.0,2,309.0,1,18.86,308.69,"71,654,206",308.5,339.0,278.0,14.59,112.0,4.73,3.49
6804,明係,37685,57,1904660,50.9,50.9,50.2,50.5,,-0.4,50.5,9,50.7,1,13.95,50.54,"35,000,000",50.5,55.5,45.45,2.6,112.0,5.15,1.27
6805,富世達,842197,1600,666783291,777.0,818.0,760.0,793.0,+,18.0,791.00,1,794.00,3,86.57,,,,,,,,,
6806,森崴能源,3176947,2783,457493613,144.5,146.0,142.5,144.0, ,0.0,144.00,24,144.50,13,48.98,,,,,,,,,
6807,峰源-KY,69813,93,2921780,42.0,42.0,41.55,41.55,-,0.05,41.55,5,41.60,1,9.42,,,,,,,,,
6811,宏�硌穈T,188032,340,53501360,289.0,289.0,283.5,284.0,,-5.0,284.0,5,286.0,5,23.47,284.53,"41,449,000",284.0,312.0,256.0,8.5,112.0,2.99,6.0
6821,聯寶,56000,54,2407700,43.3,43.35,42.75,43.1,,-0.2,42.85,1,43.4,1,25.5,42.99,"31,041,820",43.1,47.4,38.8,1.55969846,112.0,3.62,2.07
6823,濾能,22077,18,1751916,78.0,80.0,78.0,80.0,,2.0,79.5,7,80.0,1,,79.35,"22,238,475",80.0,88.0,72.0,0.0,112.0,0.0,2.9
6829,千附精密,893908,1199,108775214,127.5,127.5,119.5,119.5,,-4.0,119.5,7,120.0,9,34.05,121.69,"59,169,000",119.5,131.0,108.0,5.4,111.0,4.52,3.83
6830,汎銓,152321,151,21816037,143.5,145.0,142.5,142.5,-,0.5,142.50,1,143.00,6,25.49,,,,,,,,,
6834,天二科技,17200,16,421590,24.5,24.8,24.4,24.5,+,0.15,24.45,1,24.60,1,0.0,,,,,,,,,
6835,圓裕,533719,265,26460003,49.5,50.7,48.5,50.5,+,1.15,50.20,11,50.50,15,14.15,,,,,,,,,
6840,東研信超,8005,9,575763,72.6,72.6,71.6,71.8,,-0.2,71.7,2,71.8,1,,71.93,"25,278,000",71.8,78.9,64.7,1.0,112.0,1.39,2.24
6841,長佳智能,293331,273,25561256,87.4,88.1,86.4,87.9,,0.9,87.8,3,87.9,2,,87.14,"98,519,500",87.9,96.6,79.2,1.0,112.0,1.14,4.38
6843,進典,4184,6,242172,58.4,58.4,57.6,57.8,,1.1,56.9,2,57.3,1,14.24,57.88,"33,304,000",57.8,63.5,52.1,2.5,112.0,4.33,2.32
6844,諾貝兒,41402,100,7437538,179.0,180.5,179.0,179.0,,-1.5,179.0,22,180.0,5,28.82,179.64,"38,032,440",179.0,196.5,161.5,6.0,112.0,3.35,2.12
6846,綠茵,12205,36,976499,79.9,80.1,79.9,80.0,,-0.3,80.0,2,80.3,1,15.87,80.01,"26,832,800",80.0,88.0,72.0,3.49594809,112.0,4.37,2.69
6854,錼創科技-KY創,229143,114,17498195,77.4,79.1,75.0,78.3,+,0.8,78.30,2,79.40,1,0.0,,,,,,,,,
6855,數泓科,30347,59,3876868,130.0,130.0,127.0,127.5,,-3.5,127.0,3,130.0,1,20.27,127.75,"21,136,105",127.5,140.0,115.0,4.5,112.0,3.53,3.69
6856,鑫傳,10026,16,680968,67.8,68.0,67.8,67.8,,-0.2,67.8,9,68.0,5,16.58,67.92,"28,200,000",67.8,74.5,61.1,4.0,111.0,5.9,2.46
6859,伯特光,72470,905,9880833,137.0,138.0,135.0,135.5,,,135.5,2,136.0,8,52.72,136.34,"39,134,400",135.5,149.0,122.0,2.0,112.0,1.48,2.97
6861,睿生光電,65844,138,5230266,80.2,80.2,79.0,79.6,-,0.8,79.60,1,79.70,1,27.45,,,,,,,,,
6863,永道-KY,149450,236,21626537,146.0,146.0,143.5,144.5,-,0.5,144.50,4,145.00,21,23.96,,,,,,,,,
6865,偉康科技,9219,29,551460,61.0,61.0,59.6,59.7,,-1.3,59.7,1,60.6,1,30.46,59.82,"14,517,500",59.7,65.6,53.8,1.6,112.0,2.68,2.34
6869,雲豹能源-創,167612,126,22666199,136.5,136.5,134.5,136.0,-,0.5,135.50,1,136.50,7,15.6,,,,,,,,,
6870,騰雲,23520,43,2985918,128.0,129.5,126.0,127.5,,-0.5,126.0,3,128.0,3,31.88,126.95,"21,800,000",127.5,140.0,115.0,3.8,112.0,2.98,2.94
